A16R04;A16R04-1;1;;;11,3258590698242;10,4053359985352;9,71489715576172;11,312;M;2;3;1132,58590698242;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-2;2;;;10,9612724304199;10,0898635864258;9,42227096557617;8,799;M;2;2;137,015905380249;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-3;3;;;11,9443916320801;10,9723838806152;10,2356513977051;10,312;F;2;2;44,2384875262225;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-4;4;;;11,5929634094238;10,6680267333984;9,91835556030273;11,718;F;2;3;18,1140053272247;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-5;5;;;12,410782623291;11,3191703796387;10,4794715881348;15,639;F;2;2;9,92862609863281;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-6;6;;;11,4663124084473;10,3590110778809;9,64288482666016;10,851;M;2;3;5,30847796687373;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-7;7;;;11,7171348571777;10,8469512939453;10,1338333129883;11,8;F;2;3;3,41607430238418;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-8;8;;;10,4426361083984;9,6023551940918;8,89597396850586;5,616;M;2;3;2,03957736492157;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-9;9;;;11,9453590393066;11,0763465881348;10,2384490966797;15,349;F;2;3;1,63859520429446;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-10;10;;;12,4506973266602;11,4047088623047;10,6466407775879;12,228;M;2;3;1,24506973266602;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-11;11;;;11,9543090820312;11,0225708007812;10,1821907043457;11,086;F;2;3;0,898144934788223;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-12;12;;;10,5038299560547;9,67745666503906;9,05431823730469;6,47;M;2;3;0,607860529864276;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-13;13;;;10,885538482666;10,1259727478027;9,46625518798828;10,474;M;2;3;0,495472848551025;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-14;14;;;11,168741607666;10,3426322937012;9,6645378112793;5,425;M;2;2;0,407024111066546;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-15;15;;;11,2993362426758;10,4530235290527;9,71180648803711;11,806;F;2;3;0,334795147931134;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-16;16;;;11,1216728210449;10,2744346618652;9,59141693115234;10,102;F;2;3;0,271525215357542;1+;1,33;2015;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-17;17;;;10,9213714599609;10,1212219238281;9,47163009643555;6,91;F;2;3;0,222295368613086;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-18;18;;;11,3655540466309;10,2941467285156;9,77609176635742;10,777;M;2;3;0,194882613968293;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-19;19;;;11,6396896362305;10,6385452270508;9,89552307128906;12,208;M;2;3;0,169699513576767;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-20;20;;;10,2328880310059;9,37522583007813;8,56026840209961;7,515;M;2;3;0,127911100387573;2+;2,33;2014;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-21;21;;;;9,9;9,3;5,377;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-22;22;;;;11,2;10,3;5,599;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-23;23;;;;10,2;9,6;5,073;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-24;24;;;;10,3;9,7;5,888;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-25;25;;;;10,8;10,2;5,863;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-26;26;;;;8,9;8,3;7,232;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-27;27;;;;9,2;8,7;7,741;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-28;28;;;;9,2;8,6;6,293;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-29;29;;;;10,3;9,5;6,712;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-30;30;;;;8,8;8,3;6,834;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-31;31;;;;9,7;9,3;7,883;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-32;32;;;;9,9;9,2;5,618;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-33;33;;;;8,9;8,3;6,339;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-34;34;;;;10,2;9,6;5,718;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-35;35;;;;10,6;10;5,872;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-36;36;;;;10;9,3;6,952;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-37;37;;;;9,5;8,9;6,366;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-38;38;;;;9,4;8,8;6,008;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-39;39;;;;9,6;9;5,585;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-40;40;;;;9,2;8,6;7,348;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-41;41;;;;8,6;8;6,439;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-42;42;;;;8,9;8,4;6,846;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-43;43;;;;7,8;7,3;4,127;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-44;44;;;;8,5;8;5,442;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-45;45;;;;9,2;8,7;6,232;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-46;46;;;;9;8,3;6,462;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-47;47;;;;8,6;8;6,572;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-48;48;;;;9,9;9,2;6,31;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-49;49;;;;9,2;8,7;6,301;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-50;50;;;;10,8;10,2;10,488;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-51;51;;;;7,6;7;3,587;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-52;52;;;;6,8;6,3;2,474;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-53;53;;;;7,7;7,3;3,919;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-54;54;;;;7,8;7,3;3,895;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-55;55;;;;7,2;6,7;3,016;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-56;56;;;;6,9;6,5;2,402;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-57;57;;;;7,4;6,9;3,023;J;;;;0+;0,33;2016;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-58;58;;;;9,5;9,1;6,325;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-59;59;;;;9,4;8,8;7,606;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
A16R04;A16R04-60;60;;;;7,6;7,2;3,935;;;;;;;;;;;;;;;;;Инд. липиды не определяли; ;
